Id,Predicted
114982,369144.2796887194
95653,484915.2894432862
40303,307291.7625819947
109506,315055.29165334
100149,479049.79145703505
7610,369893.889191241
61101,263803.2754791534
68167,458744.6714638391
65701,338698.4301696498
56039,287875.9219374135
81919,431494.2282415336
99768,419061.72621478076
124053,710170.4836451896
3942,408267.24275962554
118904,481100.4621463696
30060,378685.75678519136
185729,596755.6928274139
46357,795963.5533314092
20662,404670.11758635053
102274,525800.8569604764
53369,278921.0293540021
9719,445827.52297760185
20145,335558.0970506347
159051,600366.0110750871
31481,305914.64023462526
142247,384115.1687724716
29119,366392.8291470436
151448,387496.13325973274
60594,270135.562067059
83400,506423.3378818509
40168,255208.93238509586
52407,380429.7214381156
127232,490192.37187755643
131188,399634.05279603467
952,202414.52109804418
166230,492366.1645479283
144844,402202.68001989706
33207,341164.4415116543
28355,651469.7930743621
179918,650422.0787261211
162451,723587.5108713269
19390,217239.9827827525
114861,429803.2930200591
132259,332450.85678420163
180033,741604.3074786456
97052,505868.00385229953
94224,388349.1944363658
32295,468483.4572457082
171908,675916.6262020405
80236,505332.5920122771
156193,470067.3559520198
54494,205120.50075809215
174530,673133.5836138967
143835,363666.2333884959
26275,348981.36060591834
61627,707845.7559585517
49813,334463.2953241848
3466,490843.44679084286
117691,503419.2458044275
132738,619328.4834617178
114211,551847.8885596716
116741,445259.75012224045
39246,445662.4498388646
150011,295693.4837158294
182319,544368.8293962977
32441,295646.0109339078
18842,353676.248313957
99428,405942.5110619153
96435,446167.8484676604
134803,383687.504683835
171636,604111.0204214447
115944,511893.0979447749
149001,509424.7077491145
19084,401376.74319822143
178128,687463.1520763949
74818,442428.13533617515
49603,274609.04229699424
86262,685426.7510659166
14520,270467.2855526748
57209,782242.6376684016
148575,671902.3598893493
33,126629.8364905729
180401,661498.7762615224
87114,498352.0496205552
16450,315120.56045940286
28848,331450.5028529166
11519,177533.2030646588
7202,295040.05837395083
2843,231132.76042709255
156073,455572.14424666064
132217,392722.6077592408
140349,547605.3715544341
34614,303753.45951153955
135594,395535.13549147337
170933,634353.8777269243
62586,394986.1773618361
145868,378293.3192257611
15155,203815.98099051515
61290,366963.22610764264
184569,618360.3878069234
169996,423661.09681469685
7026,365822.0471005959
128356,376768.66376572516
134501,512912.95199074753
163406,569880.2395290714
56796,395596.35438404244
174870,733168.2175113908
142554,518793.2122377528
59547,292810.81346265535
143113,438498.04307990614
154091,550097.4947597436
61191,578149.2785010579
135899,435157.4684266537
172405,586229.6949501097
184121,605427.5087379673
1063,420049.2717922363
